Titulo da reportagem,Veículo de imprensa,data,resumo,Instituição que efetuou a apreensao,localidade onde foi encontrado o plantio,município,Estado,Quantidade de pés encontrados,quantidade prensada (embalada),Sementes,Pessoas presas por sexo,armas apreendidas,plantio estava em área pública ou particular,Link de acesso,Observações,codigo_ibge,municipio_ibge,estado_ibge
Polícia Federal encontra 28 toneladas de maconha na maior apreensão de drogas da história do Brasil,Uol - site de notícias,5/21/2020,"Polícia Federal e a Polícia Rodoviária Federal apreenderam aproximadamente 28 toneladas de maconha que eram transportadas em um caminhão da marca Volvo, entre os municípios de Tacuru e Iguatemi, no Estado do Mato Grosso do Sul. Essa é a maior apreensão de drogas da história do país.",PF e PRF,Rodovia ,"Tacuru, Iguatemi",Mato Grosso do Sul,X,28 toneladas,X,1 homem (motorista),X,Sem informações (maconha estava em rodovia),https://jc.uol.com.br/brasil/2020/05/5609951-policia-federal-encontra-28-toneladas-de-maconha-na-maior-apreensao-de-drogas-da-historia-do-brasil.html,"O motorista detido informou que já teria pego o caminhão carregado e seria responsável por levar a carga até a cidade de São Leopoldo, no Rio Grande do Sul, onde receberia cerca de R$ 40 mil pelo serviço.",5004304.0,Iguatemi,Mato Grosso do Sul
"Operação conjunta erradica cultivo de 15,4 mil pés de maconha em Cabrobó",Uol - site de notícias,5/18/2020,"Em uma operação conjunta das polícias Federal, Civil e Militar (BEPI-2ª CIPM-GATI), foram destruídos cerca de 15,4 mil pés de maconha e cerca de 150 kg da droga pronta para o consumo na zona rural de Cabrobó, Sertão de Pernambuco. A ação contou com a participação direta de 15 policiais entre federais, civis e militares com o apoio do corpo de bombeiros.","PF, PC, PM (BEPI-2ª CIPM-GATI) e Corpo de Bombeiros (Operação Muçambê II)",Rural,Cabrobó,Pernambuco,"Cerca de 15,4 mil",Cerca de 150kg,Sem informações (1 sementeira),X,X,Particular (2 roças localizadas em sítio de Cachoeirinha),https://jc.uol.com.br/pernambuco/2020/05/5609577-operacao-conjunta-erradica-cultivo-de-15-4-mil-pes-de-maconha-na-zona-rural-de-cabrobo.html,,2603009.0,Cabrobó,Pernambuco
"Mais de 800 pés de maconha são erradicados em Cabrobó, Pernambuco",Uol - site de notícias,4/28/2020,"Dois plantios de maconha, totalizando 831 pés, foram erradicados nesta segunda-feira (27) na Ilha do Rato, Zona Rural de Cabrobó, no Sertão do São Francisco, em Pernambuco. A queima fez parte da Operação Muçambê II da Polícia Federal, que teve o apoio do Grupo de Apoio Tático Itinerante (GATI) da Polícia Militar e do Núcleo de Inteligência do Sertão III.",PM (GATI) e Núcleo de Inteligência do Sertão III,Rural,Cabrobó,Pernambuco,831,X,X,X,X,Sem informações (Ilha do Rato),https://jc.uol.com.br/pernambuco/2020/04/5607421-mais-de-800-pes-de-maconha-sao-erradicados-em-cabrobo--pernambuco.html,,2603009.0,Cabrobó,Pernambuco
Polícia Federal e a Companhia de Operações Especiais da Polícia Militar do Amazonas apreendem balsa com drogas no Rio Japurá/AM,Gov.br - site de notícias,4/30/2022,"Durante a ação, foram apreendidos 195 kg de maconha tipo skunk, uma balsa em ferro medindo 28 metros de comprimento, 1 rebocador de embarcação de 270hp, 1 bote de alumínio com motor de 15hp, uma carabina calibre .38 e 14 munições calibre .380.",PF e COE/PMAM,Rural,Japurá,Amazonas,X,195kg do tipo skunk,X,X,1,Sem informações (maconha no Rio Japurá),https://www.gov.br/pf/pt-br/assuntos/noticias/2022/05/policia-federal-e-a-companhia-de-operacoes-especiais-da-policia-militar-do-amazonas-apreendem-balsa-com-drogas-no-rio-japura-am,"A operação acontece como resposta à nova rota do tráfico de drogas, que usa o rio Japurá para levar, principalmente, maconha do tipo skunk da Colômbia para Manaus/AM e posteriormente é escoada para as regiões norte, nordeste e centro-oeste do Brasil.",1302108.0,Japurá,Amazonas
Supermaconha: PRF realiza maior apreensão de skunk dos últimos 5 anos no Ceará,OPovo - site de notícias,10/24/2022,"Dois homens, 38 e 35 anos, foram presos por tráfico de drogas, com 168,7 quilos (kg) de skunk, no km 402 da BR-020, em Caucaia. A apreensão foi realizada na madrugada deste domingo, 23, por agentes da Polícia Rodoviária Federal (PRF). A ação foi a maior apreensão desse tipo de entorpecente – conhecido como ""supermaconha"" – realizada pela PRF no Ceará, nos últimos cinco anos.",PRF,Km 402 da BR-020,Caucaia,Ceará,X,"168,7kg do tipo skunk",X,2 homens (35 e 38 anos),X,Sem informações (maconha no km 402 da BR-020),https://www.opovo.com.br/noticias/ceara/2022/10/24/supermaconha-prf-realiza-maior-apreensao-de-skunk-dos-ultimos-5-anos-no-ceara.html,"Os homens estavam em um veículo caminhão-baú, do tipo VW/8.120. O veículo partiu com os entorpecentes de Belém (PA) e tinha por destino a cidade de Fortaleza.",2303709.0,Caucaia,Ceará
Paciente de Juazeiro recebe autorização para cultivar Cannabis com fins medicinais,OPovo - site de notícias,10/20/2022,"Mais um cearense recebeu a autorização da Justiça para o cultivo de Cannabis para fins medicinais. A liminar foi concedida em setembro deste ano para o nutricionista Tiago Carvalho, que sofre com quadros de depressão, ansiedade e fibromialgia. Esse é o 26⁰ habeas corpus para o cultivo de Cannabis no Ceará e o segundo de Juazeiro do Norte, a 489,2 km de Fortaleza.",X,Licença para o cultivo de cannabis,Juazeiro do Norte,Ceará,X,X,X,X,X,X,https://www.opovo.com.br/noticias/ceara/juazeiro-do-norte/2022/10/20/paciente-de-juazeiro-recebe-autorizacao-para-cultivar-cannabis-com-fins-medicinais.html,"O advogado Ítalo Coelho, responsável pelo caso, explica que o cultivo na própria casa dos beneficiados ocorre porque os tratamentos prescritos são muito caros. ""A autorização está reconhecendo o direito fundamental à saúde, por conta da dificuldade do acesso que os pacientes têm em relação à cannabis medicinal, já que é muito caro, um produto que pode ser importado"", explica o jurista.",2307304.0,Juazeiro do Norte,Ceará
Hórus/Fronteira Mais Segura: Polícia destrói plantação de maconha em Autazes,"Amazonas, governo do Estado - site de notícias",9/3/2023,"Ao todo, foram apreendidos cerca de 2 mil pés de maconha, sementes de cultivo, e implementos agrícolas para o cultivo do entorpecente. Os danos causados aos criminosos foram calculados em mais de R$6 milhões.","Operação Hórus/Fronteira Mais Segura (SSP-AM, DIP e GPM)",Rural,Autazes,Amazonas,Cerca de 2 mil,X,Sem informações ,1 homem,X,"Pública (plantio localizado no ramal do Arumã, no quilômetro 32, da Rodovia 254)",https://www.ssp.am.gov.br/horus-fronteira-mais-segura-policia-destroi-plantacao-de-maconha-em-autazes/,Plantação encontrada por meio de denúncia,1300300.0,Autazes,Amazonas
"Em ação conjunta, agentes da segurança desativam acampamento de plantação de maconha","Amazonas, governo do Estado - site de notícias",3/18/2022,"Após levantamento prévio de Inteligência, os policiais apreenderam três armas de fogo de fabricação caseira, aproximadamente 600 quilos de maconha regional, uma balança de precisão e materiais para preparo de entorpecentes. Durante a ocasião, foram encontrados mais de 2 mil pés e mudas de maconha. Todo o material ilícito foi erradicado e destruído no local de plantio. Ao todo, a operação causou mais de R$ 600 mil em prejuízo ao narcotráfico.","Operação Hórus (SSP-AM, BPAMB e CIPM)",Rural,Maués,Amazonas,Cerca de 2 mil pés e mudas,600kg ,X,X,3,Sem informações (desativação de acampamento de narcotraficantes e destruição de três plantios de maconha),https://www.ssp.am.gov.br/em-acao-conjunta-agentes-da-seguranca-desativam-acampamento-de-plantacao-de-maconha/,,1302900.0,Maués,Amazonas
PM localiza plantação de maconha e prende foragido da justiça,"Amazonas, governo do Estado - site de notícias",11/4/2021,"Policiais Militares da Rocam prenderam um homem de 22 anos em um veículo roubado. Após apreensão, o indivíduo revelou a plantação de maconha na comunidade Fazendinha, no bairro Cidade de Deus, zona norte da capital com diversos materiais furtados e uma plantação equivalente a 51 pés de maconha. ",PM (ROCAM),Rural,Manaus,Amazonas,51,X,X,1 homem de 22 anos,X,Sem informações,https://www.ssp.am.gov.br/pm-localiza-plantacao-de-maconhae-prende-forajido-da-justica/,,1302603.0,Manaus,Amazonas
PM detém homem com plantio de maconha no município de Silves,"Amazonas, governo do Estado - site de notícias",2/5/2020,"O homem foi detido pelos policiais do 3°Grupamento de Polícia Militar (GPM), na estrada AM 363, Km 9, na Ponte de Caru. Os policiais estavam realizando patrulhamento quando abordaram o suspeito, que estaria comercializando entorpecentes. Com ele, foi achado uma pequena quantidade de supostamente maconha e, após a inspeção dos policiais, vários pés da planta de maconha.",PMAM (GPM),Rural,Silves,Amazonas,Sem informações (vários pés de maconha),Sem informações (comercialização de entorpecentes),X,1 homem,X,"Pública (estrada AM 363, Km 9)",https://www.ssp.am.gov.br/pm-detem-homem-com-plantio-de-maconha-no-municipio-de-silves/,,1304005.0,Silves,Amazonas
Polícia Militar detém homem que fazia plantio de maconha em sua residência,"Amazonas, governo do Estado - site de notícias",6/17/2020,"A equipe realizava patrulhamento ostensivo pela zona oeste quando recebeu, por volta das 17h, denúncia anônima via linha direta sobre um plantio de maconha que era feito no quintal de uma residência no bairro Tarumã. Ao chegar ao local indicado, após entrada autorizada pelo proprietário, os policiais realizaram buscas, durante as quais foi encontrado um total de oito vasos com várias mudas de plantas supostamente do gênero Cannabis.",BPChoque/Rocam,Urbana,Manaus,Amazonas,Oito vasos com várias mudas de plantas supostamente do gênero Cannabis.,X,X,1 homem de 48 anos,X,Particular (plantação em casa),https://www.ssp.am.gov.br/policia-militar-detem-homem-que-fazia-plantio-de-maconha-em-sua-residencia/,Plantação encontrada por meio de denúncia,1302603.0,Manaus,Amazonas
"Polícias Civil, Militar e Guarda Municipal prendem homem em Urucurituba com 800 pés de maconha e 20 kg da droga","Amazonas, governo do Estado - site de notícias",5/14/2018,"De acordo com a autoridade policial, a operação resultou na prisão em flagrante de Miguel Andrade dos Santos, 41, por tráfico de drogas e receptação. Com ele os policiais encontraram cerca de 800 pés de maconha, 20 quilos da substância ilícita e três aparelhos celulares. Foram apreendidos, ainda, durante a ação policial, dois motores de popa, oriundos de furtos.",PC do Amazonas (DIP) - Operação “Poraquê”,Rural,Urucurituba,Amazonas,800,20kg,X,"1 homem (Miguel Andrade dos Santos, 41 anos)",X,Particular (plantação em casa),https://www.ssp.am.gov.br/policias-civil-militar-e-guarda-municipal-prendem-homem-em-urucurituba-com-800-pes-de-maconha-e-20-kg-da-droga/,"Mário Melo (delegado) ressaltou que uma operação semelhante já havia sido deflagrada em 2016, no mesmo local em que o infrator foi preso. Na ocasião, os policiais civis da 41ª DIP apreenderam 32 quilos de maconha e retiraram cinco plantações com aproximadamente cinco mil pés da droga.",1304401.0,Urucurituba,Amazonas
Polícia Civil encontra plantio de maconha no bairro Monte das Oliveiras e prende rapaz pela prática ilícita com arma caseira,"Amazonas, governo do Estado - site de notícias",7/5/2018,"A Polícia Civil do Amazonas, por meio da equipe de investigação do 26º Distrito Integrado de Polícia (DIP), sob o comando do delegado Paulo Benelli, titular da unidade policial, prendeu, em flagrante, na manhã desta quinta-feira (5/7), por volta das 10h, Jamilson Souza de Oliveira, 28, em posse de cinco pés de maconha, porções de drogas e uma arma caseira",PC do Amazonas (DIP),Urbana,Manaus,Amazonas,5,Sem informações (porções de drogas),X,"1 homem (Jamilson Souza de Oliveira, 28 anos)",1,Particular (plantação em casa),https://www.ssp.am.gov.br/policia-civil-encontra-plantio-de-maconha-no-bairro-monte-das-oliveiras-e-prende-rapaz-pela-pratica-ilicita-com-arma-caseira/,Plantação encontrada por meio de denúncia,1302603.0,Manaus,Amazonas
Operação desenvolvida pelo CTA destroem cerca de 42 mil pés de maconha em Santa Helena e Mirinzal/MA,Governo do Maranhão SSP - site de notícias,12/7/2022,"A equipe realizou a erradicação pelo processo queima e destruição da plantação numa área de aproximadamente 8.400m² , com cerca de 42 mil pés,sendo 05 pés por cova e mais 35kg de droga pronta para o consumo. Não havia nenhum indivíduo no local para que fosse apresentado na delegacia.",CTA,Rural,"Entre Santa Helena, Mirinzal",Maranhão,Cerca de 42 mil,35kg,X,X,X,Sem informações (área de aproximadamente 8.400m²),https://www.ssp.ma.gov.br/operacao-desenvolvida-pelo-cta-destroem-cerca-de-42-mil-pes-de-maconha-em-santa-helena-e-mirinzal-ma/,Denúncia do Dep. Federal Aluísio Mendes,,,
Operação desenvolvida pelo CTA destroem cerca de 42 mil pés de maconha em Santa Helena e Mirinzal/MA,Governo do Maranhão SSP - site de notícias,12/7/2022,"A equipe realizou a erradicação pelo processo queima e destruição da plantação numa área de aproximadamente 8.400m² , com cerca de 42 mil pés,sendo 05 pés por cova e mais 35kg de droga pronta para o consumo. Não havia nenhum indivíduo no local para que fosse apresentado na delegacia.",CTA,Rural,"Entre Santa Helena, Mirinzal",Maranhão,Cerca de 42 mil,35kg,X,X,X,Sem informações (área de aproximadamente 8.400m²),https://www.ssp.ma.gov.br/operacao-desenvolvida-pelo-cta-destroem-cerca-de-42-mil-pes-de-maconha-em-santa-helena-e-mirinzal-ma/,Denúncia do Dep. Federal Aluísio Mendes,2106805.0,Mirinzal,Maranhão
"OPERAÇÃO NARCOS : POLÍCIA CIVIL LOCALIZA E DESTRÓI PLANTAÇÃO DE MACONHA,EM TURIAÇU",Governo do Maranhão SSP - site de notícias,3/31/2022,"A Delegacia de Turiaçu , após receber denúncias de que havia plantações de maconha no Povoado Leonel, enviou uma equipe de investigadores que após uma longa caminhada em mata densa e fechada, conseguiu localizar as plantações. Na ocasião , não havia pessoas no local. Amostras foram recolhidas e serão encaminhadas para perícia.",PC do Maranhão - Operação Narcos (fase 1),Rural,Turiaçu,Maranhão,Sem informações,Sem informações,X,X,X,Pública (Povoado Leonel),https://www.ssp.ma.gov.br/operacao-narcos-policia-civil-localiza-e-destroi-plantacao-de-maconhaem-turiacu/,"No último dia 23 de março, a Polícia Civil do Maranhão também localizou e destruiu uma plantação de maconha no Povoado da Nadir na cidade de Centro do Guilherme. Na ocasião ,duas pessoas foram presas e mais de 20 quilos de maconha apreendidos .",2112407.0,Turiaçu,Maranhão
"EM TURIAÇU, POLÍCIA CIVIL DESTRÓI MAIS UMA PLANTAÇÃO DE MACONHA E APREENDE DUAS ESPINGARDAS",Governo do Maranhão SSP - site de notícias,4/6/2022,"Após informes recebidos de que havia uma grande plantação de maconha na referida localidade, a equipe da Delegacia de Turiaçu se dirigiu até o povoado, onde após diligências e caminhada na mata, localizou a plantação. Segundo o delegado Allisson Guimaraes, cerca mil pés de maconha foram destruídos. No local também foram encontradas duas espingardas do tipo “bate-bucha” e um balança de precisão.",PC do Maranhão - Operação Narcos (fase 2),Rural,Turiaçu,Maranhão,Cerca de mil pés,X,X ,X,2,Sem informações (Povoado Tacurubão),https://www.ssp.ma.gov.br/em-turiacu-policia-civil-destroi-mais-uma-plantacao-de-maconha-e-apreende-duas-espingardas/,Plantação encontrada por meio de denúncia,2112407.0,Turiaçu,Maranhão
"POLÍCIA CIVIL DESTRÓI PLANTAÇÃO DE MACONHA NA RESERVA DO CARU, EM BOM JARDIM",Governo do Maranhão SSP - site de notícias,10/21/2022,"Segundo o delegado Jessé Soares, a Polícia Civil foi informada que pessoas estariam cultivando maconha na Reserva do Caru, localizada no Município de Bom Jardim. Para encontrar a plantação, os policiais civis percorreram 90 km de viatura em estrada de terra e aproximadamente 6 km, caminhando exaustivamente em veredas, dentro da reserva ambiental.",PC do Maranhão,Rural,Bom Jardim,Maranhão,Sem informações,X,X,1 homem,3,Pública (Reserva do Caru),https://www.ssp.ma.gov.br/policia-civil-destroi-plantacao-de-maconha-na-reserva-do-caru-em-bom-jardim/,"No momento da abordagem policial, os traficantes estavam armados, em número de quatro. Eles correram deixando três armas, mas um deles foi preso na perseguição. A plantação foi destruída no local e recolheu-se quantidade suficiente para exame pericial. O suspeito será encaminhado ao Sistema Prisional e ficará à disposição da Justiça.",2102002.0,Bom Jardim,Maranhão
Polícia Civil em governador nunes freire destrói plantação de maconha e prende acusado,Governo do Maranhão SSP - site de notícias,11/10/2021,"Enfatizando nas ações contra a criminalidade, a Polícia Civil do Maranhão prendeu na data desta terça-feira, (09), em Governador Nunes Freire um acusado o qual cultivava mais de 1.000 pés da planta Cannabis Sativa, popularmente conhecida como maconha.",PC do Maranhão,Rural,Governador Nunes Freire,Maranhão,Cerca de mil pés,2kg,X,1 homem,1,Pública (próximo ao povoado da Vila União),https://www.ssp.ma.gov.br/policia-civil-em-governador-nunes-freire-destroi-plantacao-de-maconha-e-prende-acusado/,,2104677.0,Governador Nunes Freire,Maranhão
OPERAÇÃO INTEGRADA DAS FORÇAS DE SEGURANÇA ERRADICA MAIS DE 50 MIL PÉS DE MACONHA NO INTERIOR DO MARANHÃO,Governo do Maranhão SSP - site de notícias,9/30/2021,"Como resultado da operação, os policiais conseguiram erradicar uma plantação de aproximadamente 1,8 hectares de maconha. A Polícia Civil do Maranhão acredita que na plantação havia cerca de 54 mil pés de maconha. Além disso, foram apreendidos itens irrigação e adubação para o cultivo do entorpecente e duas pessoas foram presas em flagrante",PC do Maranhão e do Piauí e PMMA,Rural,"Entre as cidades de Benedito Leite, São Domingos do Azeitão",Maranhão,Cerca de 54 mil pés,X,X,2 pessoas (sem informações sobre o sexo),X,Sem informações,https://www.ssp.ma.gov.br/operacao-integrada-das-forcas-de-seguranca-erradica-mais-de-50-mil-pes-de-maconha-no-interior-do-maranhao/,,,,
OPERAÇÃO INTEGRADA DAS FORÇAS DE SEGURANÇA ERRADICA MAIS DE 50 MIL PÉS DE MACONHA NO INTERIOR DO MARANHÃO,Governo do Maranhão SSP - site de notícias,9/30/2021,"Como resultado da operação, os policiais conseguiram erradicar uma plantação de aproximadamente 1,8 hectares de maconha. A Polícia Civil do Maranhão acredita que na plantação havia cerca de 54 mil pés de maconha. Além disso, foram apreendidos itens irrigação e adubação para o cultivo do entorpecente e duas pessoas foram presas em flagrante",PC do Maranhão e do Piauí e PMMA,Rural,"Entre as cidades de Benedito Leite, São Domingos do Azeitão",Maranhão,Cerca de 54 mil pés,X,X,2 pessoas (sem informações sobre o sexo),X,Sem informações,https://www.ssp.ma.gov.br/operacao-integrada-das-forcas-de-seguranca-erradica-mais-de-50-mil-pes-de-maconha-no-interior-do-maranhao/,,2110658.0,São Domingos do Azeitão,Maranhão
"POLICIAIS MILITARES DO 15º BPM APREENDEM PLANTAÇÃO DE MACONHA NO MUNICÍPIO DE CONCEIÇÃO DO LAGO AÇU, MA",Governo do Maranhão SSP - site de notícias,3/9/2021,"Policiais Militares integrantes do Destacamento PM da cidade de Conceição do Lago Açu (15º BPM), apreenderam na manhã de quinta-feira (8), dezenas de pés de maconha, bem como maconha acondicionada pronta para a venda. A operação aconteceu no povoado Centro do Meio e uma anciã foi conduzida. Os policiais foram ao local que fica a 40km da sede do município para averiguar uma possível venda de maconha.",PM (15º BPM),Rural,Conceição do Lago-Açu,Maranhão,Sem informações (dezenas de pés),Sem informações (várias sacolas com o produto já apurado para venda),X,Sem informações (2 homens fugitivos e anciã foi conduzida à delegacia para prestar informações),X,Pública (povoado Centro do Meio e uma anciã foi conduzida. Fica a 40km da sede do município),https://www.ssp.ma.gov.br/policiais-militares-do-15o-bpm-apreendem-plantacao-de-maconha-no-municipio-de-conceicao-do-lago-acu-ma/,,2103554.0,Conceição do Lago-Açu,Maranhão
Policiais do BPTur apreendem 140 pés de maconha em plantação em povoado de Santo Amaro,Governo do Maranhão SSP - site de notícias,1/30/2021,"No total, 140 pés de maconha foram, além de 200g de substância semelhante a maconha seca e um vidro com sementes de maconha.",PM (BPTur),Rural,Santo Amaro do Maranhão,Maranhão,140,200g de substância semelhante a maconha seca,Sem informações (1 vidro com sementes),1 homem (proprietário),X,Pública (povoado Vai quem Quer),https://www.ssp.ma.gov.br/policiais-do-bptur-apreendem-140-pes-de-maconha-em-plantacao-em-povoado-de-santo-amaro/,Plantação encontrada por meio de denúncia,2110278.0,Santo Amaro do Maranhão,Maranhão
POLICIAIS MILITARES DO 17º BPM DESCOBREM PLANTAÇÃO DE MACONHA E APREENDEM QUATRO ARMAS DE FOGO EM CODÓ,Governo do Maranhão SSP - site de notícias,9/8/2020,"Com o suspeitos foram apreendidos aproximadamente cinquenta pés de maconha, noventa um gramas de maconha prensada, uma balança de precisão, R$ 257,50 (duzentos e cinquenta e sete reais e cinquenta centavos), duas garrafas com folhas de maconha, quatro espingardas, seis cartuchos municiados e vários descarregados. Os três suspeitos, as quatro armas de fogo e os outros materiais encontrados nos locais foram apresentados na 4ª Delegacia Regional de Polícia Civil.",PM (17º Batalhão) com participação de equipes da Força Tática e do Serviço de Inteligência,Rural,Codó,Maranhão,50 pés encontrados com os suspeitos,91g e 2 garrafas com folhas de maconha,X,Sem informações (3 suspeitos encaminhados à delegacia),4,"Pública (povoado Palmeiras, a 70km de Codó)",https://www.ssp.ma.gov.br/policiais-militares-do-17o-bpm-descobrem-plantacao-de-maconha-e-apreendem-quatro-armas-de-fogo-em-codo/,Plantação encontrada por meio de denúncia,2103307.0,Codó,Maranhão
A POLÍCIA CIVIL DO MARANHÃO ACABA COM PLANTAÇÃO DE MACONHA NA CIDADE DE PEDRO DO ROSÁRIO/MA,Governo do Maranhão SSP - site de notícias,1/23/2020,"Foram apreendidas armas de fogo, sementes, adubo, ferramentas para cultivo da planta além de mais de 2 mil pés de maconha, dos quais, uma parte foi incinerada no local e o restante foi apreendido para ser encaminhado à perícia.",PCMA e PMMA,Rural,Pedro do Rosário,Maranhão,2 mil,X,Sem informações ,3 pessoas (sem informações sobre o sexo),X,Particular (propriedade),https://www.ssp.ma.gov.br/a-policia-civil-do-maranhao-acaba-com-plantacao-de-maconha-na-cidade-de-pedro-do-rosario-ma/,,2108256.0,Pedro do Rosário,Maranhão
Operação policial integrada encontra plantação de maconha e prende três homens em Turiaçu,Governo do Maranhão SSP - site de notícias,9/19/2017,"Em o local de mata fechada, foram encontrados quase mil pés de maconha. Diante do fato, foi decretada a prisão dos três indivíduos, sendo os mesmos encaminhados a delegacia de Turiaçu, onde ficam presos a disposição da justiça.",PC e PM,Rural,Turiaçu,Maranhão,Quase mil pés,X,X,"3 homens (Joelson da Conceição Costa, Josivaldo Pereira Salgado e Alfredo Pereira Júnior)",X,Pública (Povoado Juçaral),https://www.ssp.ma.gov.br/operacao-policial-integrada-encontra-plantacao-de-maconha-e-prende-tres-homens-em-turiacu/,Plantação encontrada por meio de denúncia,2112407.0,Turiaçu,Maranhão
Companhia Independente de Polícia Militar (6ª CIPM) apreende 243 kg de maconha,Governo do Pará SEGUP - site de notícias,Sem data,"A Polícia Militar do Pará localizou na manhã desta quinta-feira (4) um plantio de maconha, no município de Tailândia, nordeste do Estado. Além da plantação, foram encontradas quatro pessoas que alegaram estar em situação de trabalho escravo, prática que será investigada pela polícia. Cerca de 143 tabletes de maconha prensada foram apreendidas, somando 243 quilos.",PMPA (6ª CIPM),Rural,Tailândia,Pará,Sem informações ,243kg,X,4 pessoas (supostos 4 trabalhadores em situação de trabalho escravo) e 1 homem (responsável pela plantação),X,Sem informações ,https://www.segup.pa.gov.br/noticias/companhia-independente-de-pol%C3%ADcia-militar-6%C2%AA-cipm-apreende-243-kg-de-maconha,"A apreensão foi realizada por agentes da 6ª Companhia Independente de Polícia Militar (6ª CIPM), que chegaram até o local da plantação após abordarem um homem na noite da última quarta-feira (3), e encontrarem com ele a volumosa quantidade de maconha. Ao ser questionado, o homem revelou o local onde havia adquirido o entorpecente.",1507953.0,Tailândia,Pará
Polícia Civil apreende 78 quilos de maconha em Santana do Araguaia,Governo do Pará SEGUP - site de notícias,Sem data,"Agência Pará de Notícias A Polícia Civil fez a maior apreensão de drogas dos últimos anos na região de Santana do Araguaia, sul do Pará. Ao todo, 78 quilos de maconha já ensacados foram encontrados na zona rural do município. No local, o responsável pelo tráfico de drogas, Irismar Vitor de Souza, de apelido ""Marzinho"", foi preso em flagrante. Com ele, foi apreendida ainda uma espingarda de calibre 36 usada para reparar a área usada no cultivo da erva. O preso foi conduzido à Delegacia de Santana do Araguaia para ser autuado em flagrante por tráfico de entorpecentes.","PC (operação “Coruja"")",Rural,Santana do Araguaia,Pará,X,78kg,X,"1 homem (Irismar Vitor de Souza, de apelido ""Marzinho"")",1,"Sem informações (localidade conhecida como Retiro 13, na antiga fazenda Cristalina)",https://www.segup.pa.gov.br/noticias/pol%C3%ADcia-civil-apreende-78-quilos-de-maconha-em-santana-do-araguaia,Plantação encontrada por meio de denúncia,1506708.0,Santana do Araguaia,Pará
Informe / Segup - RMB 27/09,Governo do Pará SEGUP - site de notícias,9/28/2018,"Mais de 10 mil pés e 500 mudas de maconha foram apreendidos por meio da operação Veredas, iniciada desde a última segunda-feira (24) no município de Cachoeira do Piriá, nordeste paraense. Aproximadamente 30 plantações ilegais de maconha foram destituídas. O trabalho iniciou com a verificação do espaço via satélite em parceria com a Secretaria de Estado de Meio Ambiente e Sustentabilidade (Semas). A operação integrada, conta com a atuação de 42 agentes da segurança pública e coordenação da Polícia Civil. Um inquérito policial será instaurado para identificar os responsáveis pelos assentamentos.",PC (operação Veredas),Rural,Cachoeira do Piriá,Pará,Mais de 10 mil pés e 500 mudas,X,X,X,X,Sem informações (assentamentos),https://www.segup.pa.gov.br/informe-segup-rmb-2709,,1501956.0,Cachoeira do Piriá,Pará
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira,Vice - site de notícias,26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018),"Notáveis operações da Polícia Federam vêm sendo postas em prática nos últimos anos no Nordeste do país. A justificativa é dificultar o comércio ilegal de maconha. Entre os dias 4 e 15 deste mês, para se ter ideia, foram apreendidos 265 mil pés no sertão do Estado do Pernambuco. A ação, nomeada “Macambira II”, enquadrou plantações em ilhas do Rio São Francisco e nas regiões de Orocó, Cabobró, Belém do São Francisco, Santa Maria da Boa Vista, e nas áreas de caatinga em Salgueiro, Carnaubeira da Penha, Serra Talhada, Betânia e Floresta. São terras sem dono, posses absolutas do Governo Federal. Ficam em locais de difícil acesso. Só se chega lá de barco.",PF e PM do Corpo de Bombeiros  (operação “Macambira II”),Rural,"Ilhas do Rio São Francisco e nas regiões de Orocó, Cabrobó, Belém do São Francisco, Santa Maria da Boa Vista, e nas áreas de caatinga em Salgueiro, Carnaubeira da Penha, Serra Talhada, Betânia e Floresta.",Pernambuco,265 mil,X,X,X,X,"Pública (posses do Governo Federal e de difícil acesso, chegando apenas de barco)",https://www.vice.com/pt/article/apreensoes-de-plantio-de-maconha-no-brasil-influenciam-trafico-na-fronteira-paraguai/,"“Essas operações são realmente programadas, acompanhando o ciclo produtivo da maconha. Geralmente são três meses, então a gente faz quatro operações anuais. O foco é a não proliferação da maconha aqui no sertão”, disse à VICE o chefe de comunicação da PF Giovani Santoro. “A gente vai direto nos focos do plantio para que a droga não seja colhida, prensada e colocada no mercado consumidor”.",,,
